article_id,title,article_url,source,source_url,image_url,posted_time,relative_time,categories,tags,scraped_at,posted_time_iso
bytedance-plans-614m-ai-center-china,ByteDance plans $614m AI center in China,https://www.techinasia.com/news/bytedance-plans-614m-ai-center-china,South China Morning Post,https://www.scmp.com/tech/big-tech/article/3294738/bytedance-invest-us614-million-computing-centre-china-amid-high-ai-demand,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736921732_shutterstock_2537427847-1-750x500.jpg,2025-01-15T15:05:00,38m ago,['AI'],['China'],2025-01-15 15:43:39,
ytl-sea-launch-malaysias-aipowered-digital-bank,"Ytl, Sea launch Malaysia’s first AI-powered digital bank",https://www.techinasia.com/news/ytl-sea-launch-malaysias-aipowered-digital-bank,Ryt Bank,https://www.linkedin.com/company/rytbankmy/,https://cdn.techinasia.com/wp-content/uploads/2024/07/1722327888_menara-ytl-kl-750x422.png,2025-01-15T11:08:00,4h ago,"['AI', 'Fintech']",['Malaysia'],2025-01-15 15:43:39,
taiwanese-startup-metai-raises-4m-seed-funding,Taiwanese startup MetAI raises $4m seed funding,https://www.techinasia.com/news/taiwanese-startup-metai-raises-4m-seed-funding,MetAI,https://www.met-ai.net/,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736894729_MetAI.png,2025-01-15T11:00:00,4h ago,"['AI', 'Investments']",[],2025-01-15 15:43:39,
saudi-firm-halo-ai-secures-6m-global-expansion,Saudi firm Halo AI secures $6m for global expansion,https://www.techinasia.com/news/saudi-firm-halo-ai-secures-6m-global-expansion,Arab News,https://www.arabnews.com/node/2586359/business-economy,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736482663_shutterstock_2308739453-750x499.jpg,2025-01-15T10:05:00,5h ago,"['AI', 'Investments']",[],2025-01-15 15:43:39,
israeli-cybersecurity-startup-raises-36m-seed-funding,Israeli cybersecurity startup raises $36m seed funding,https://www.techinasia.com/news/israeli-cybersecurity-startup-raises-36m-seed-funding,Calcalist,https://www.calcalistech.com/ctechnews/article/bkot3kmwyl,https://cdn.techinasia.com/wp-content/uploads/2024/12/1735011218_shutterstock_1956837997-750x553.jpg,2025-01-15T10:00:00,5h ago,"['AI', 'Investments']",[],2025-01-15 15:43:39,
biden-signs-order-ai-data-centers-usmade-chips,"Biden signs order for AI data centers, US-made chips",https://www.techinasia.com/news/biden-signs-order-ai-data-centers-usmade-chips,CNBC,https://www.cnbc.com/2025/01/14/biden-opens-federal-land-for-ai-data-centers-sets-developer-rules.html,https://cdn.techinasia.com/wp-content/uploads/2023/06/1687941555_shutterstock_2286344107-750x500.jpg,2025-01-15T09:00:00,6h ago,['AI'],[],2025-01-15 15:43:39,
aws-general-catalyst-advance-ai-tools-support-healthcare,"AWS, General Catalyst advance AI tools to support healthcare",https://www.techinasia.com/news/aws-general-catalyst-advance-ai-tools-support-healthcare,CNBC,https://www.cnbc.com/2025/01/13/health-care-ai-aws-and-general-catalyst-partner-to-speed-development.html,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736413903_shutterstock_1489195400-750x500.jpg,2025-01-14T18:05:00,21h ago,['AI'],[],2025-01-15 15:43:39,
trump-set-ai-chip-export-restrictions,Trump likely to keep US AI chip export restrictions,https://www.techinasia.com/news/trump-set-ai-chip-export-restrictions,Bloomberg,https://www.bloomberg.com/news/articles/2025-01-13/trump-likely-to-maintain-new-ai-chip-controls-top-biden-aide-jake-sullivan-says,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736341611_shutterstock_2434408241-750x502.jpg,2025-01-14T17:56:00,21h ago,['AI'],['China'],2025-01-15 15:43:39,
openai-urges-action-maintain-ai-leadership,OpenAI urges action to maintain US AI leadership,https://www.techinasia.com/news/openai-urges-action-maintain-ai-leadership,Reuters,https://www.reuters.com/technology/artificial-intelligence/openai-urges-us-prioritize-ai-funding-regulation-stay-ahead-china-2025-01-13/,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736148915_shutterstock_2511421515-750x494.jpg,2025-01-14T15:38:00,1d ago,['AI'],['China'],2025-01-15 15:43:39,
tsmc-q4-profit-set-surge-58-strong-ai-chip-demand,TSMC Q4 profit set to surge 58% on strong AI chip demand,https://www.techinasia.com/news/tsmc-q4-profit-set-surge-58-strong-ai-chip-demand,Reuters,https://www.reuters.com/technology/tsmc-fourth-quarter-profit-seen-jumping-58-strong-ai-chip-demand-2025-01-13/,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736217646_shutterstock_2486598645-750x500.jpg,2025-01-14T15:15:00,1d ago,['AI'],[],2025-01-15 15:43:39,
pubg-maker-to-invest-136m-game-studios,PUBG maker Krafton to invest $136m in game studios,https://www.techinasia.com/news/pubg-maker-to-invest-136m-game-studios,Bloomberg,https://www.bloomberg.com/news/articles/2025-01-13/-pubg-developer-plans-a-spending-spree-in-search-of-more-hits?srnd=phx-technology,https://cdn.techinasia.com/wp-content/uploads/2022/07/1659095975_nbazhjy7wm3ehegpohqa-750x422.jpeg,2025-01-14T13:02:00,1d ago,"['AI', 'Investments']",[],2025-01-15 15:43:39,
microsoft-forms-engineering-group-boost-ai-tools,Microsoft forms new engineering group to boost AI tools,https://www.techinasia.com/news/microsoft-forms-engineering-group-boost-ai-tools,The Verge,https://www.theverge.com/2025/1/13/24342793/microsoft-ai-engineering-group-coreai-jay-parikh,https://cdn.techinasia.com/wp-content/uploads/2023/01/1673334449_Microsoft-750x563.jpg,2025-01-14T12:26:00,1d ago,['AI'],[],2025-01-15 15:43:39,
tighten-ai-chip-exports-targets-china,"US tightens AI chip exports, targets China",https://www.techinasia.com/news/tighten-ai-chip-exports-targets-china,Reuters,https://www.reuters.com/technology/artificial-intelligence/us-tightens-its-grip-ai-chip-flows-across-globe-2025-01-13/,,2025-01-14T10:51:00,1d ago,['AI'],[],2025-01-15 15:43:39,
indonesian-digital-character-generator-nets-seed,Indonesian AI character generator nets $5m seed,https://www.techinasia.com/news/indonesian-digital-character-generator-nets-seed,Bythen,https://www.bythen.ai/,,2025-01-14T10:00:00,1d ago,"['AI', 'Investments']",[],2025-01-15 15:43:39,
googles-automotive-agent-enhances-voice-assist-mercedes-cla,Google’s AI agent enhances voice assist in Mercedes CLA,https://www.techinasia.com/news/googles-automotive-agent-enhances-voice-assist-mercedes-cla,Google,https://blog.google/feed/mercedes-google-cloud-automotive-ai-agent/,,2025-01-14T09:45:00,1d ago,['AI'],[],2025-01-15 15:43:39,
adobe-launches-ai-tool-bulk-image-editing,Adobe launches new AI tool for bulk image editing,https://www.techinasia.com/news/adobe-launches-ai-tool-bulk-image-editing,The Verge,https://www.theverge.com/2025/1/13/24342622/adobe-firefly-bulk-create-api-announcement-availability,https://cdn.techinasia.com/wp-content/uploads/2023/06/1686709604_shutterstock_1793510983-750x500.jpg,2025-01-14T08:45:00,1d ago,['AI'],[],2025-01-15 15:43:43,
chinese-ai-startup-deepseek-launches-free-ios-app,Chinese AI startup DeepSeek launches free iOS app,https://www.techinasia.com/news/chinese-ai-startup-deepseek-launches-free-ios-app,Pandaily,https://pandaily.com/ai-assistant-deepseek-official-app-launched/,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736726769_shutterstock_2553453443-750x500.jpg,2025-01-14T08:15:00,1d ago,['AI'],['China'],2025-01-15 15:43:43,
south-korea-boosts-ai-semiconductor-ties-israel-japan,"South Korea boosts AI, semiconductor ties with Israel, Japan",https://www.techinasia.com/news/south-korea-boosts-ai-semiconductor-ties-israel-japan,Yonhap,https://en.yna.co.kr/view/AEN20250113000900320,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736311486_shutterstock_1567981987-750x500.jpg,2025-01-13T16:20:00,1d ago,['AI'],[],2025-01-15 15:43:43,
sk-telecom-launches-gpuaas-south-koreas-ai-data-center,SK Telecom launches GPUaaS for South Korea’s AI data center,https://www.techinasia.com/news/sk-telecom-launches-gpuaas-south-koreas-ai-data-center,SK Telecom,http://www.linkedin.com/company/sk-telecom,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736749507_Image-2-SK-Telecom-Launches-AI-Data-Center-based-GPUaaS-750x505.jpg,2025-01-13T15:09:00,2d ago,['AI'],[],2025-01-15 15:43:43,
